# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -2.9465
# k_min, k_max      =     0.0000    2.1339
# E_min, E_max      =   -22.4181   21.1234
# Nbands, Nspin, Nk =      8     1   901
#
#        k            E
# --------------------------------------------------------------------------
      1.956491    -22.116500
      1.959497    -22.126600
      1.962503    -22.136600
      1.965510    -22.146400
      1.968516    -22.156000
      1.971522    -22.165400
      1.974528    -22.174700
      1.977535    -22.183800
      1.980541    -22.192700
      1.983547    -22.201500
      1.986553    -22.210000
      1.989560    -22.218400
      1.992566    -22.226700
      1.995572    -22.234700
      1.998578    -22.242600
      2.001585    -22.250300
      2.004591    -22.257900
      2.007597    -22.265200
      2.010603    -22.272400
      2.013610    -22.279400
      2.016616    -22.286300
      2.019622    -22.292900
      2.022628    -22.299400
      2.025635    -22.305800
      2.028641    -22.311900
      2.031647    -22.317900
      2.034653    -22.323700
      2.037660    -22.329300
      2.040666    -22.334800
      2.043672    -22.340100
      2.046678    -22.345200
      2.049685    -22.350100
      2.052691    -22.354900
      2.055697    -22.359500
      2.058703    -22.363900
      2.061710    -22.368200
      2.064716    -22.372200
      2.067722    -22.376100
      2.070728    -22.379900
      2.073735    -22.383400
      2.076741    -22.386800
      2.079747    -22.390000
      2.082753    -22.393000
      2.085760    -22.395900
      2.088766    -22.398600
      2.091772    -22.401100
      2.094778    -22.403400
      2.097785    -22.405600
      2.100791    -22.407600
      2.103797    -22.409400
      2.106803    -22.411100
      2.109810    -22.412500
      2.112816    -22.413800
      2.115822    -22.415000
      2.118828    -22.415900
      2.121835    -22.416700
      2.124841    -22.417300
      2.127847    -22.417700
      2.130853    -22.418000
      2.133860    -22.418100


      0.000000    -10.092100
      0.002603    -10.092100
      0.005207    -10.091800
      0.007810    -10.091400
      0.010414    -10.090800
      0.013017    -10.090100
      0.015621    -10.089200
      0.018224    -10.088200
      0.020828    -10.087000
      0.023431    -10.085600
      0.026035    -10.084100
      0.028638    -10.082400
      0.031242    -10.080500
      0.033845    -10.078500
      0.036449    -10.076300
      0.039052    -10.074000
      0.041656    -10.071500
      0.044259    -10.068800
      0.046863    -10.066000
      0.049466    -10.063000
      0.052070    -10.059900
      0.054673    -10.056600
      0.057277    -10.053100
      0.059880    -10.049500
      0.062484    -10.045700
      0.065087    -10.041800
      0.067691    -10.037700
      0.070294    -10.033400
      0.072898    -10.029000
      0.075501    -10.024400
      0.078105    -10.019600
      0.080708    -10.014700
      0.083312    -10.009700
      0.085915    -10.004400
      0.088519     -9.999100
      0.091122     -9.993500
      0.093726     -9.987800
      0.096329     -9.982000
      0.098933     -9.975900
      0.101536     -9.969700
      0.104140     -9.963400
      0.106743     -9.956900
      0.109347     -9.950200
      0.111950     -9.943400
      0.114554     -9.936500
      0.117157     -9.929300
      0.119761     -9.922000
      0.122364     -9.914600
      0.124968     -9.907000
      0.127571     -9.899200
      0.130174     -9.891300
      0.132778     -9.883200
      0.135381     -9.875000
      0.137985     -9.866600
      0.140588     -9.858000
      0.143192     -9.849300
      0.145795     -9.840400
      0.148399     -9.831400
      0.151002     -9.822200
      0.153606     -9.812900
      0.156209     -9.803400
      0.158813     -9.793800
      0.161416     -9.784000
      0.164020     -9.774000
      0.166623     -9.763900
      0.169227     -9.753600
      0.171830     -9.743200
      0.174434     -9.732600
      0.177037     -9.721900
      0.179641     -9.711000
      0.182244     -9.700000
      0.184848     -9.688800
      0.187451     -9.677400
      0.190055     -9.665900
      0.192658     -9.654300
      0.195262     -9.642500
      0.197865     -9.630500
      0.200469     -9.618400
      0.203072     -9.606200
      0.205676     -9.593800
      0.208279     -9.581200
      0.210883     -9.568500
      0.213486     -9.555600
      0.216090     -9.542600
      0.218693     -9.529400
      0.221297     -9.516100
      0.223900     -9.502600
      0.226504     -9.489000
      0.229107     -9.475300
      0.231711     -9.461400
      0.234314     -9.447300
      0.236918     -9.433100
      0.239521     -9.418700
      0.242125     -9.404200
      0.244728     -9.389600
      0.247332     -9.374800
      0.249935     -9.359800
      0.252539     -9.344700
      0.255142     -9.329500
      0.257745     -9.314100
      0.260349     -9.298600
      0.262952     -9.282900
      0.265556     -9.267100
      0.268159     -9.251100
      0.270763     -9.235000
      0.273366     -9.218800
      0.275970     -9.202400
      0.278573     -9.185800
      0.281177     -9.169200
      0.283780     -9.152300
      0.286384     -9.135400
      0.288987     -9.118300
      0.291591     -9.101000
      0.294194     -9.083700
      0.296798     -9.066100
      0.299401     -9.048500
      0.302005     -9.030700
      0.304608     -9.012700
      0.307212     -8.994700
      0.309815     -8.976400
      0.312419     -9.010300
      0.315022     -9.046100
      0.317626     -9.081900
      0.320229     -9.117800
      0.322833     -9.153600
      0.325436     -9.189500
      0.328040     -9.225400
      0.330643     -9.261300
      0.333247     -9.297200
      0.335850     -9.333100
      0.338454     -9.369100
      0.341057     -9.405000
      0.343661     -9.441000
      0.346264     -9.476900
      0.348868     -9.512900
      0.351471     -9.548800
      0.354075     -9.584800
      0.356678     -9.620700
      0.359282     -9.656600
      0.361885     -9.692600
      0.364489     -9.728500
      0.367092     -9.764400
      0.369696     -9.800300
      0.372299     -9.836200
      0.374903     -9.872000
      0.377506     -9.907800
      0.380110     -9.943700
      0.382713     -9.979500
      0.385316    -10.015200
      0.387920    -10.051000
      0.390523    -10.086700
      0.393127    -10.122400
      0.395730    -10.158000
      0.398334    -10.193700
      0.400937    -10.229300
      0.403541    -10.264800
      0.406144    -10.300400
      0.408748    -10.335900
      0.411351    -10.371300
      0.413955    -10.406700
      0.416558    -10.442100
      0.419162    -10.477400
      0.421765    -10.512700
      0.424369    -10.548000
      0.426972    -10.583200
      0.429576    -10.618300
      0.432179    -10.653500
      0.434783    -10.688500
      0.437386    -10.723500
      0.439990    -10.758500
      0.442593    -10.793400
      0.445197    -10.828300
      0.447800    -10.863100
      0.450404    -10.897800
      0.453007    -10.932500
      0.455611    -10.967200
      0.458214    -11.001800
      0.460818    -11.036300
      0.463421    -11.070800
      0.466025    -11.105200
      0.468628    -11.139500
      0.471232    -11.173800
      0.473835    -11.208100
      0.476439    -11.242200
      0.479042    -11.276300
      0.481646    -11.310400
      0.484249    -11.344400
      0.486853    -11.378300
      0.489456    -11.412100
      0.492060    -11.445900
      0.494663    -11.479600
      0.497267    -11.513300
      0.499870    -11.546800
      0.502474    -11.580300
      0.505077    -11.613800
      0.507681    -11.647100
      0.510284    -11.680400
      0.512888    -11.713700
      0.515491    -11.746800
      0.518094    -11.779900
      0.520698    -11.812900
      0.523301    -11.845800
      0.525905    -11.878700
      0.528508    -11.911500
      0.531112    -11.944200
      0.533715    -11.976800
      0.536319    -12.009400
